,psi_ref_hpa,psi_gypsum_hpa,psi_vg_hpa,theta_pct,temp_c,precip_mm,rad_wm2,temp_aire_c
2016-03-01 00:00:00,,,,,,0.0,0,-1.5
2016-03-01 00:30:00,,,,,,0.0,0,-1.8
2016-03-01 01:00:00,,,,,,0.0,0,-2.0
2016-03-01 01:30:00,,,,,,0.0,0,-2.5
2016-03-01 02:00:00,,,,,,0.0,0,-2.9
2016-03-01 02:30:00,,,,,,0.0,0,-3.2
2016-03-01 03:00:00,,,,,,0.0,0,-3.5
2016-03-01 03:30:00,,,,,,0.0,0,-3.5
2016-03-01 04:00:00,,,,,,0.0,0,-3.8
2016-03-01 04:30:00,,,,,,0.0,0,-4.2
2016-03-01 05:00:00,,,,,,0.0,0,-4.7
2016-03-01 05:30:00,,,,,,0.0,0,-4.3
2016-03-01 06:00:00,,,,,,0.0,0,-4.5
2016-03-01 06:30:00,,,,,,0.0,0,-4.7
2016-03-01 07:00:00,,,,,,0.0,0,-4.4
2016-03-01 07:30:00,,,,,,0.0,0,-4.0
2016-03-01 08:00:00,,,,,,0.0,14,-3.2
2016-03-01 08:30:00,,,,,,0.0,34,-2.9
2016-03-01 09:00:00,,,,,,0.0,51,-2.6
2016-03-01 09:30:00,,,,,,0.0,73,-2.2
2016-03-01 10:00:00,,,,,,0.0,131,-1.8
2016-03-01 10:30:00,,,,,,0.0,131,-1.5
2016-03-01 11:00:00,,,,,,0.0,139,-1.3
2016-03-01 11:30:00,,,,,,0.0,170,-1.1
2016-03-01 12:00:00,,,,,,0.0,228,-0.8
2016-03-01 12:30:00,,,,,,0.0,268,-0.5
2016-03-01 13:00:00,,,,,,0.0,274,-0.3
2016-03-01 13:30:00,,,,,,0.0,366,0.4
2016-03-01 14:00:00,,,,,,0.0,306,1.0
2016-03-01 14:30:00,,,,,,0.0,290,1.4
2016-03-01 15:00:00,,,,,,0.0,237,1.5
2016-03-01 15:30:00,,,,,,0.0,188,1.7
2016-03-01 16:00:00,,,,,,0.0,153,1.7
2016-03-01 16:30:00,,,,,,0.0,102,2.0
2016-03-01 17:00:00,,,,,,0.0,54,1.9
2016-03-01 17:30:00,,,,,,0.0,24,1.7
2016-03-01 18:00:00,,,,,,0.0,0,1.7
2016-03-01 18:30:00,,,,,,0.0,0,1.8
2016-03-01 19:00:00,,,,,,0.0,0,1.8
2016-03-01 19:30:00,,,,,,0.0,0,2.4
2016-03-01 20:00:00,,,,,,0.0,0,2.8
2016-03-01 20:30:00,,,,,,0.0,0,2.8
2016-03-01 21:00:00,,,,,,0.2,0,2.2
2016-03-01 21:30:00,,,,,,0.2,0,2.0
2016-03-01 22:00:00,,,,,,0.4,0,1.9
2016-03-01 22:30:00,,,,,,0.4,0,2.1
2016-03-01 23:00:00,,,,,,0.0,0,2.4
2016-03-01 23:30:00,,,,,,0.2,0,2.5
2016-03-02 00:00:00,,,,,,0.0,0,2.6
2016-03-02 00:30:00,,,,,,0.0,0,2.7
2016-03-02 01:00:00,,,,,,0.0,0,2.7
2016-03-02 01:30:00,,,,,,0.0,0,2.8
2016-03-02 02:00:00,,,,,,0.0,0,3.0
2016-03-02 02:30:00,,,,,,0.0,0,3.1
2016-03-02 03:00:00,,,,,,0.0,0,3.2
2016-03-02 03:30:00,,,,,,0.0,0,3.4
2016-03-02 04:00:00,,,,,,0.0,0,3.5
2016-03-02 04:30:00,,,,,,0.0,0,3.7
2016-03-02 05:00:00,,,,,,0.0,0,4.0
2016-03-02 05:30:00,,,,,,0.0,0,4.1
2016-03-02 06:00:00,,,,,,0.0,0,4.1
2016-03-02 06:30:00,,,,,,0.0,0,4.3
2016-03-02 07:00:00,,,,,,0.0,0,4.5
2016-03-02 07:30:00,,,,,,0.0,0,4.7
2016-03-02 08:00:00,,,,,,0.0,32,4.9
2016-03-02 08:30:00,,,,,,0.0,56,5.2
2016-03-02 09:00:00,,,,,,0.0,79,5.5
2016-03-02 09:30:00,,,,,,0.0,44,5.7
2016-03-02 10:00:00,,,,,,0.0,93,6.2
2016-03-02 10:30:00,,,,,,0.0,48,6.1
2016-03-02 11:00:00,,,,,,0.0,62,6.1
2016-03-02 11:30:00,,,,,,0.0,106,6.7
2016-03-02 12:00:00,,,,,,0.0,176,7.4
2016-03-02 12:30:00,,,,,,0.0,313,8.2
2016-03-02 13:00:00,,,,,,0.0,203,8.7
2016-03-02 13:30:00,,,,,,0.0,174,7.8
2016-03-02 14:00:00,,,,,,0.2,65,3.7
2016-03-02 14:30:00,,,,,,0.4,121,4.3
2016-03-02 15:00:00,,,,,,0.2,187,4.8
2016-03-02 15:30:00,,,,,,0.4,105,5.3
2016-03-02 16:00:00,,,,,,0.0,103,5.2
2016-03-02 16:30:00,,,,,,0.0,94,5.3
2016-03-02 17:00:00,,,,,,0.0,88,5.6
2016-03-02 17:30:00,,,,,,0.0,36,5.2
2016-03-02 18:00:00,,,,,,0.0,8,4.7
2016-03-02 18:30:00,,,,,,0.0,0,4.2
2016-03-02 19:00:00,,,,,,0.0,0,3.6
2016-03-02 19:30:00,,,,,,0.0,0,3.2
2016-03-02 20:00:00,,,,,,0.0,0,3.0
2016-03-02 20:30:00,,,,,,0.0,0,2.7
2016-03-02 21:00:00,,,,,,0.0,0,3.0
2016-03-02 21:30:00,,,,,,0.0,0,3.5
2016-03-02 22:00:00,,,,,,0.0,0,3.0
2016-03-02 22:30:00,,,,,,0.0,0,2.6
2016-03-02 23:00:00,,,,,,0.0,0,3.0
2016-03-02 23:30:00,,,,,,0.0,0,2.4
2016-03-03 00:00:00,,,,,,0.0,0,1.5
2016-03-03 00:30:00,,,,,,0.0,0,2.8
2016-03-03 01:00:00,,,,,,0.0,0,3.8
2016-03-03 01:30:00,,,,,,0.0,0,2.9
2016-03-03 02:00:00,,,,,,0.0,0,3.9
2016-03-03 02:30:00,,,,,,0.0,0,3.2
2016-03-03 03:00:00,,,,,,0.0,0,1.6
2016-03-03 03:30:00,,,,,,0.0,0,1.9
2016-03-03 04:00:00,,,,,,0.0,0,3.2
2016-03-03 04:30:00,,,,,,0.0,0,3.6
2016-03-03 05:00:00,,,,,,0.0,0,3.6
2016-03-03 05:30:00,,,,,,0.0,0,3.8
2016-03-03 06:00:00,,,,,,0.0,0,3.8
2016-03-03 06:30:00,,,,,,0.0,0,3.8
2016-03-03 07:00:00,,,,,,0.0,0,3.7
2016-03-03 07:30:00,,,,,,0.0,0,3.8
2016-03-03 08:00:00,,,,,,0.0,31,3.7
2016-03-03 08:30:00,,,,,,0.0,61,3.6
2016-03-03 09:00:00,,,,,,0.0,109,3.9
2016-03-03 09:30:00,,,,,,0.0,162,4.2
2016-03-03 10:00:00,,,,,,0.0,195,4.6
2016-03-03 10:30:00,,,,,,0.0,213,4.7
2016-03-03 11:00:00,,,,,,0.0,330,5.1
2016-03-03 11:30:00,,,,,,0.0,307,5.3
2016-03-03 12:00:00,,,,,,0.0,202,5.5
2016-03-03 12:30:00,,,,,,0.0,363,5.8
2016-03-03 13:00:00,,,,,,0.0,526,6.7
2016-03-03 13:30:00,,,,,,0.0,494,6.8
2016-03-03 14:00:00,,,,,,0.0,229,6.8
2016-03-03 14:30:00,,,,,,0.0,149,6.7
2016-03-03 15:00:00,,,,,,0.0,167,6.7
2016-03-03 15:30:00,,,,,,0.0,220,6.9
